Lab,Speed_U_Stat,Speed_P_Value,Speed_Median_Diff,Angle_KS_Stat,Angle_P_Value,Angle_Mean_Diff,Significant_Speed,Significant_Angle
BoisterousParrot,74818502719794.0,0.0,37.26241,0.06000610067460177,0.0,12.649869,Yes,Yes
CRIM13,639089053890.5,0.0,-3.6280823,0.014198834727025322,5.360446494076648e-50,1.2947882,Yes,Yes
CalMS21_supplemental,774949725578.0,0.0,-30.358986,0.018646740029573006,2.8549973983275634e-189,1.4819465,Yes,Yes
CalMS21_task1,663449724597.0,0.0,-27.388268,0.028861946556785312,0.0,0.549951,Yes,Yes
CalMS21_task2,1010122091607.0,0.0,-30.358986,0.009778109010453673,1.1626880038355396e-64,0.1238243,Yes,Yes
DeliriousFly,3519268939796.5,0.0,-21.49633,0.021461594628030045,0.0,2.0023174,Yes,Yes
ElegantMink,2383416565541.5,0.0,-16.072601,0.029330445259191762,0.0,0.5066148,Yes,Yes
GroovyShrew,1907173867261.0,0.0,17.926514,0.02466954562810597,4.65e-320,2.9300022,Yes,Yes
MABe22_keypoints,587812692163.0,0.0,15.611034,0.020282717566393882,4.967539727711207e-67,0.06730622,Yes,Yes
InvincibleJellyfish,650230044164.5,0.0,-58.283073,0.014446577265037008,4.193076982328549e-113,1.6441945,Yes,Yes
JovialSwallow,1129310858936.5,0.0,15.617043,0.027342020396396383,1.0457443601411557e-217,2.2183695,Yes,Yes
LyricalHare,2205390330294.0,0.0,-17.679497,0.02185158599298019,0.0,1.0757622,Yes,Yes
NiftyGoldfinch,2103520040279.5,0.0,14.282486,0.030902094165262017,0.0,6.1489887,Yes,Yes
MABe22_movies,325455077061.5,0.0,-26.309738,0.07600976337605246,0.0,7.79904,Yes,Yes
SparklingTapir,255142276885.0,0.0,-58.21296,0.00809997720356942,2.7659129904490326e-16,0.5352405,Yes,Yes
ReflectiveManatee,1210505796138.0,0.0,-9.076431,0.008622748490557108,2.4715461432281556e-36,0.7473192,Yes,Yes
UppityFerret,3688279925440.5,0.0,12.918842,0.007853484489200646,3.4107565061507464e-53,0.20595828,Yes,Yes
PleasantMeerkat,2797265829344.5,2.1769415327348904e-288,0.09819794,0.007022169835221526,8.798647904146604e-43,0.08417915,Yes,Yes
CautiousGiraffe,1381004759765.5,2.181903437608031e-47,-1.0307999,0.008498945838638028,1.396434766647127e-34,0.8415887,Yes,Yes
TranquilPanther,3093241103659.0,5.617998033198468e-46,-2.176403,0.013991161230520244,2.619232609253326e-180,0.7218951,Yes,Yes
