Lab,Median_Speed,Mean_Speed,Speed_Std,Avg_FPS,Avg_Duration,Avg_Arena_Width,Avg_Pix_Per_Cm,N_Videos,Normalized_Speed_CM_Sec
AdaptableSnail,48.716927,60.693317,53.81265,28.823529411764707,1578.8235294117646,60.0,14.51764705882353,17,96.72323347490456
BoisterousParrot,11.454518,18.282661,28.120378,30.0,19800.85,45.0,5.5,8,62.479190826416016
CRIM13,52.34501,59.24886,33.8409,25.0,397.3428571428571,35.0,14.523809523809522,21,90.10206441410253
CalMS21_supplemental,79.07591,91.41316,44.483265,30.0,622.2892255892257,35.0,18.329999999999995,297,129.42047868344676
CalMS21_task1,76.105194,87.88998,52.695946,30.0,323.80495049504947,35.0,18.32999999999999,101,124.5584191355105
CalMS21_task2,79.07591,90.48125,44.05811,30.0,654.0868421052633,35.0,18.329999999999995,76,129.42047868344676
CautiousGiraffe,49.747726,56.23204,30.33042,25.0,600.0,30.0,21.0,10,59.223483857654394
DeliriousFly,70.21326,83.55794,47.701885,60.008333333333326,899.9500000000002,38.0,16.0,6,263.33628253936763
ElegantMink,64.78953,70.711975,34.192642,30.0,1597.0894736842108,33.0,18.457894736842107,19,105.30376646435087
GroovyShrew,30.790413,46.783688,28.07445,30.0,883.835294117647,33.0,11.352941176470587,17,81.36326725618827
InvincibleJellyfish,107.0,117.154594,66.87326,30.0,571.2333333333332,28.0,32.0,33,100.3125
JovialSwallow,33.099884,35.764744,27.43634,10.0,900.0,15.0,15.299999999999995,52,21.633911132812504
LyricalHare,66.39642,83.93284,75.263176,120.00166666666667,308.08750000000003,30.8,10.9,24,730.9799505951208
MABe22_keypoints,33.105892,43.67664,40.969425,30.0,60.0,52.0,11.700000000000001,5320,84.88690302922176
MABe22_movies,75.026665,198.00092,223.99706,30.0,60.0,52.0,11.700000000000001,2606,192.37606342022235
NiftyGoldfinch,34.43444,52.651634,35.929504,30.0,1073.4818181818184,33.0,13.5,11,76.52097913953993
PleasantMeerkat,48.61873,67.1318,50.922,45.0,600.0,120.0,15.799999999999995,36,138.47106257571454
ReflectiveManatee,57.793358,61.800884,29.963667,25.0,606.0450000000001,35.0,15.0,20,96.32226308186848
SparklingTapir,106.929886,123.28089,78.64959,60.14492753623188,259.9130434782608,20.317391304347826,40.01449275362319,69,160.72402257756968
TranquilPanther,50.89333,56.169666,30.739334,30.0,1646.1199999999997,35.0,12.38,25,123.32793930620676
UppityFerret,35.798084,48.03841,39.649216,24.94190476190476,600.1714285714288,38.0,12.747619047619047,21,70.04228828239226
